latitude,longitude,altitude,geometry,previous_dominating_activity,bearing,previous_dominating_activity_confidence,current_dominating_activity,timestamp,created_at,feature,id,speed,route,current_dominating_activity_confidence,accuracy
-6.7690421,39.2800739,,Point,on_foot,0,90,,2015-11-30T16:46:50+03:00,2015-11-30 13:46:52,passive_tracking,197,0,,0,36
-6.7770484,39.2794475,,Point,in_vehicle,258,100,,2015-11-30T16:50:00+03:00,2015-11-30 13:50:05,passive_tracking,198,258,,0,9
-6.7526337,39.2812922,,Point,still,0,42,,2015-11-30T21:38:19+03:00,2015-11-30 18:38:22,passive_tracking,203,0,,0,40.5
-6.7924983,39.089055,,Point,in_vehicle,90,51,still,2015-11-30T14:35:36+03:00,2015-11-30 14:34:00,passive_tracking,205,90,,57,8.3
-6.7925916,39.088895,,Point,in_vehicle,29,62,still,2015-11-30T15:24:18+03:00,2015-11-30 14:34:00,passive_tracking,206,29,,35,9
-6.7899,39.08981,,Point,in_vehicle,227,85,still,2015-11-30T17:30:53+03:00,2015-11-30 14:34:00,passive_tracking,208,227,,48,6.3
-6.7692591,39.2803247,,Point,still,0,35,,2015-12-01T08:32:58+03:00,2015-12-01 05:33:03,passive_tracking,215,0,,0,30
-6.7692184,39.2803539,,Point,on_foot,0,23,,2015-12-01T11:56:31+03:00,2015-12-01 08:56:34,passive_tracking,217,0,,0,30
-6.7692632,39.2803326,,Point,on_foot,0,52,still,2015-12-01T14:12:07+03:00,2015-12-01 11:12:14,passive_tracking,219,0,,79,30
-6.753974,39.2820453,,Point,on_foot,0,72,,2015-12-01T18:50:03+03:00,2015-12-01 15:50:06,passive_tracking,223,0,,0,24
-6.8239223,39.3033586,,Point,still,147,62,,2015-12-01T20:07:14+03:00,2015-12-01 17:07:17,passive_tracking,224,147,,0,6
-6.7537792,39.2819052,,Point,still,0,31,,2015-12-01T21:05:51+03:00,2015-12-01 18:05:55,passive_tracking,225,0,,0,107
-6.8277807,39.3115775,,Point,still,89,85,,2015-12-01T22:57:23+03:00,2015-12-01 19:57:37,passive_tracking,227,89,,0,6
-6.8047859,39.275251,,Point,in_vehicle,0,51,,2015-12-02T10:53:27+03:00,2015-12-02 07:54:24,passive_tracking,229,0,,0,37.5
-6.7692638,39.2803446,,Point,still,0,82,,2015-12-01T16:46:38+03:00,2015-12-01 13:46:45,passive_tracking,230,0,,0,30
-6.7922166,39.0893833,,Point,still,0,54,,2015-12-01T10:25:41+03:00,2015-12-01 13:55:31,passive_tracking,231,0,,0,8.7
-6.7925033,39.0890416,,Point,in_vehicle,101,69,,2015-12-01T11:22:00+03:00,2015-12-01 13:55:31,passive_tracking,232,101,,0,9.7
-6.7928383,39.0889766,,Point,,191,0,in_vehicle,2015-12-01T13:09:47+03:00,2015-12-01 13:55:31,passive_tracking,233,191,,44,11.4
-6.7853866,39.1638716,,Point,still,343,54,in_vehicle,2015-12-01T16:39:36+03:00,2015-12-01 13:55:31,passive_tracking,234,343,,42,18.4
-6.7857583,39.16398,,Point,still,180,42,in_vehicle,2015-12-01T16:55:14+03:00,2015-12-01 13:55:31,passive_tracking,235,180,,54,11.2
-6.752933,39.2813131,,Point,,0,0,still,2015-12-01T19:20:53+03:00,2015-12-01 16:20:57,passive_tracking,236,0,,39,36
-6.7529448,39.2813457,,Point,still,0,42,,2015-12-01T21:16:38+03:00,2015-12-01 18:16:49,passive_tracking,238,0,,0,24
-6.7685981,39.2805782,,Point,on_foot,0,42,,2015-12-01T16:56:34+03:00,2015-12-01 13:56:49,passive_tracking,240,0,,0,36
-6.8277807,39.3115775,,Point,still,89,60,,2015-12-01T22:58:09+03:00,2015-12-01 19:58:15,passive_tracking,244,89,,0,6
-6.8277807,39.3115775,,Point,,89,0,still,2015-12-01T23:32:32+03:00,2015-12-01 20:32:34,passive_tracking,247,89,,44,6
-6.7693028,39.2802567,,Point,on_foot,0,29,still,2015-12-02T08:04:29+03:00,2015-12-02 05:04:30,passive_tracking,248,0,,85,39.138
-6.7692781,39.2802819,,Point,still,0,10,,2015-12-02T10:19:51+03:00,2015-12-02 07:19:53,passive_tracking,252,0,,0,30
-6.769256,39.2803357,,Point,still,0,12,,2015-12-02T10:30:34+03:00,2015-12-02 07:30:35,passive_tracking,253,0,,0,30
-6.7692168,39.2803355,,Point,still,0,46,,2015-12-02T11:04:44+03:00,2015-12-02 08:05:02,passive_tracking,254,0,,0,30
-6.7949663,39.2809468,,Point,in_vehicle,333,50,,2015-12-02T20:47:58+03:00,2015-12-02 17:48:05,passive_tracking,259,333,,0,5
-6.8145729,39.2849527,,Point,still,136,79,,2015-12-02T19:41:29+03:00,2015-12-02 16:41:31,passive_tracking,270,136,,0,17
-6.7526088,39.2812756,,Point,in_vehicle,0,77,,2015-12-02T20:59:38+03:00,2015-12-02 17:59:47,passive_tracking,272,0,,0,39
-6.8145729,39.2849527,,Point,still,136,72,,2015-12-03T06:06:50+03:00,2015-12-03 03:06:56,passive_tracking,273,136,,0,17
-6.8145729,39.2849527,,Point,still,136,82,,2015-12-03T06:09:02+03:00,2015-12-03 03:09:09,passive_tracking,274,136,,0,17
-6.7685981,39.2805782,,Point,in_vehicle,0,31,,2015-12-03T07:29:36+03:00,2015-12-03 04:29:47,passive_tracking,275,0,,0,40.5
-6.8216738,39.3011704,,Point,still,85,54,,2015-12-03T08:27:53+03:00,2015-12-03 05:27:56,passive_tracking,276,85,,0,14
-6.7692443,39.2803459,,Point,still,0,71,,2015-12-03T11:15:37+03:00,2015-12-03 08:15:42,passive_tracking,278,0,,0,30
-6.7691896,39.2803046,,Point,on_foot,0,8,still,2015-12-03T12:05:34+03:00,2015-12-03 09:05:42,passive_tracking,279,0,,27,22
-6.7863014,39.2779135,,Point,still,326,67,,2015-12-03T15:01:18+03:00,2015-12-03 12:01:21,passive_tracking,284,326,,0,6
-6.7780301,39.2595283,,Point,in_vehicle,0,92,,2015-12-03T14:35:42+03:00,2015-12-03 11:35:45,passive_tracking,288,0,,0,30
-6.7839509,39.2781424,,Point,in_vehicle,0,90,,2015-12-03T14:56:41+03:00,2015-12-03 11:56:51,passive_tracking,289,0,,0,27
-6.8216738,39.3011704,,Point,,85,0,still,2015-12-03T15:22:37+03:00,2015-12-03 12:22:41,passive_tracking,290,85,,87,14
-6.8216738,39.3011704,,Point,still,85,85,,2015-12-03T15:24:18+03:00,2015-12-03 12:24:20,passive_tracking,291,85,,0,14
-6.7690078,39.2804053,,Point,in_vehicle,0,62,,2015-12-03T15:33:56+03:00,2015-12-03 12:35:08,passive_tracking,292,0,,0,64.5
-6.7685981,39.2805782,,Point,on_foot,0,87,still,2015-12-03T15:35:52+03:00,2015-12-03 12:35:53,passive_tracking,294,0,,62,36
-6.7692061,39.2803352,,Point,on_foot,0,62,,2015-12-03T15:42:06+03:00,2015-12-03 12:42:09,passive_tracking,296,0,,0,30
-6.7649455,39.2757736,,Point,still,0,77,,2015-12-03T22:08:06+03:00,2015-12-03 19:08:11,passive_tracking,300,0,,0,40.5
-6.7526058,39.2818828,,Point,in_vehicle,202,25,still,2015-12-04T00:27:54+03:00,2015-12-03 21:27:57,passive_tracking,301,202,,100,13
-6.7692644,39.2803434,,Point,still,0,50,,2015-12-03T16:42:17+03:00,2015-12-03 13:42:21,passive_tracking,302,0,,0,31.5
-6.7528916,39.2820174,,Point,still,323,28,,2015-12-03T17:07:29+03:00,2015-12-03 14:07:32,passive_tracking,303,323,,0,27
-6.8709433,39.1615566,,Point,on_foot,277,82,,2015-12-03T20:10:40+03:00,2015-12-03 17:10:54,passive_tracking,305,277,,0,3.9
-6.7649108,39.2755598,,Point,still,0,92,,2015-12-03T22:12:51+03:00,2015-12-03 19:12:55,passive_tracking,307,0,,0,33
-6.7536111,39.281926,,Point,still,0,100,in_vehicle,2015-12-04T00:26:57+03:00,2015-12-03 21:27:00,passive_tracking,308,0,,25,76.5
-6.7691327,39.2802125,,Point,on_bicycle,0,13,,2015-12-03T16:57:17+03:00,2015-12-03 13:57:19,passive_tracking,309,0,,0,40.5
-6.7527382,39.2812879,,Point,in_vehicle,0,100,,2015-12-03T17:02:58+03:00,2015-12-03 14:03:09,passive_tracking,310,0,,0,45
-6.7630468,39.2761857,,Point,on_foot,0,52,,2015-12-03T22:27:56+03:00,2015-12-03 19:28:03,passive_tracking,314,0,,0,6.459
-6.7597003,39.2798029,,Point,in_vehicle,0,85,,2015-12-04T08:07:36+03:00,2015-12-04 05:07:38,passive_tracking,316,0,,0,3.9
-6.7691737,39.2801327,,Point,in_vehicle,0,40,,2015-12-04T08:16:13+03:00,2015-12-04 05:16:21,passive_tracking,317,0,,0,48
